index,hypothesis,system,mqm,sqm,gemba,domain,doc,source,reference
10,The following describes the release status of earlier iterations of this document and the ones it replaces:,refA,-1.0,75.0,0.0,manuals,gb-1,本文件及其所代替文件的历次版本发布情况为 :,The following describes the release status of earlier iterations of this document and the ones it replaces:
11,"First issued in 2005 under the name GB 18030-2000, 1-2000 is now in its second edition.",refA,-6.1,76.5,-6.0,manuals,gb-1,"一 -2000 年首次发布为 GB 18030 一 2000,2005 年第一次修订; 本次为第二次修订 。","First issued in 2005 under the name GB 18030-2000, 1-2000 is now in its second edition."
12,GB 18030-2022,refA,-0.0,77.5,-1.0,manuals,gb-1,GB 18030 一 2022,GB 18030-2022
13,Chinese CCC is an info expansion method,refA,-3.0,78.0,-25.0,manuals,gb-1,信息扩术 ”中文编码字符集,Chinese CCC is an info expansion method
14,The hexadecimal representation of Chinese graphic characters and even binary codes used in information technology are described in this document.,refA,-1.1,75.5,-25.0,manuals,gb-1,1 本文件规定了信息技术用的中文图形字符及甚二进制编码的十六进制表示 。,The hexadecimal representation of Chinese graphic characters and even binary codes used in information technology are described in this document.
81,Code point allotment for four-character brush portion,refA,-2.0,84.5,-25.0,manuals,gb-2,四字刷部分的码位分配,Code point allotment for four-character brush portion
82,The four-byte parcel contains Chinese characters and some minority lingos.,refA,-1.0,83.5,-5.0,manuals,gb-2,四字节部分收录了汉字和部分少数民族文字。,The four-byte parcel contains Chinese characters and some minority lingos.
83,See Table 3 for the four-byte human code point .,refA,-1.0,84.5,0.0,manuals,gb-2,四字节人码位分配见表 3。,See Table 3 for the four-byte human code point .
84,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.,refA,-1.0,85.5,0.0,manuals,gb-2,表 3 中没有指明的四字节人码位分配见 6.3。,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.
85,Table 3 Course of action of code focuses within the four-character news portion,refA,-2.0,79.5,-5.0,manuals,gb-2,表 3 四字闻部分的码位安排,Table 3 Course of action of code focuses within the four-character news portion
86,Code point extend,refA,-1.0,81.5,0.0,manuals,gb-2,码位范围,Code point extend
87,"Code point placement in Table 3, four-byte portion (continue)",refA,-2.0,65.0,0.0,manuals,gb-3,表3 四字节部分的码位安排(续),"Code point placement in Table 3, four-byte portion (continue)"
88,Code digit count and range,refA,-3.0,80.5,-6.0,manuals,gb-3,码位范围码位数字符数,Code digit count and range
89,"Sections = 25200 bits, 0xFD308130-0xFE39FE39.",refA,-0.0,80.5,-5.0,manuals,gb-4,自 0xFD308130 至 0xFE39FE39 共 25200 个码位为用户自定义区 。,"Sections = 25200 bits, 0xFD308130-0xFE39FE39."
90,Future file extensions will use more code points.,refA,-0.0,56.5,-5.0,manuals,gb-4,"其他未占用的四字节码位为保留区, 留符未来文件扩展使用。",Future file extensions will use more code points.
91,Chars & Codes Explained,refA,-0.0,61.0,0.0,manuals,gb-4,8 部分字符和代码的说明,Chars & Codes Explained
92,Glyphs/code positions in this report contrast from GB 18030-2005 (See App D).,refA,-0.0,65.0,-1.0,manuals,gb-4,"相对于 GB 18030 一 2005 ,部分代码位置上的字形和 /或所对应的 GB/TI 13000 代码位置在本文件中进行了调整 ( 见附录D)。",Glyphs/code positions in this report contrast from GB 18030-2005 (See App D).
93,9.1 Common,refA,-0.0,75.0,0.0,manuals,gb-4,9.1 通则,9.1 Common
94,Three usage levels are depicted in this report.,refA,-0.0,82.5,0.0,manuals,gb-4,本文件规定三个实现级别。,Three usage levels are depicted in this report.
95,All characters inside the comparing usage level must have input and yield capacities in framework program items that meet the comparing usage level.,refA,-0.0,81.0,0.0,manuals,gb-4,"符合相应实现级别的系统软件产品,应提供相应实现级别范围内全部字符的输入输出功能。",All characters inside the comparing usage level must have input and yield capacities in framework program items that meet the comparing usage level.
96,9.2 Execution Level 1,refA,-0.0,83.0,0.0,manuals,gb-4,9.2 实现级别 1,9.2 Execution Level 1
97,"Realize the single-byte coded parcel, double-season coded portion, and four-character subcoded parts of this record utilizing the CJK bound together Chinese characters (that is, 0x82358F33-0x82359636) and CJK bound together Chinese characters expanded A (that is, 0x8139EE39-0x82358738).",refA,-2.0,83.0,-6.0,manuals,gb-4,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Realize the single-byte coded parcel, double-season coded portion, and four-character subcoded parts of this record utilizing the CJK bound together Chinese characters (that is, 0x82358F33-0x82359636) and CJK bound together Chinese characters expanded A (that is, 0x8139EE39-0x82358738)."
98,Each item to which this record relates must follow to the Execution Level 1 details.,refA,-0.0,82.5,0.0,manuals,gb-4,任何本文件适用的产品均应满足实现级别 1 的要求。,Each item to which this record relates must follow to the Execution Level 1 details.
161,"This man page's substance, which is confined to characterizing the alternatives, is extricated from the GNU C Compiler's comprehensive documentation.",refA,-2.0,57.0,0.0,manuals,GCC-0,"本手册页内容摘自 GNU C 编译器的完整文档,仅限于解释选项的含义.","This man page's substance, which is confined to characterizing the alternatives, is extricated from the GNU C Compiler's comprehensive documentation."
162,The EURo record and the Information record are definitive unless it is effectively kept up.,refA,-1.0,72.0,-5.0,manuals,GCC-0,"除非有人自愿维护, EURo文件，Info文件是权威文档.",The EURo record and the Information record are definitive unless it is effectively kept up.
163,Check the Data area in the event that you find a contrast between the man page and the program,refA,-0.1,63.5,0.0,manuals,GCC-0,"如果发现手册页和软件之间有所矛盾,请查对Info",Check the Data area in the event that you find a contrast between the man page and the program
164,"We'll halt posting this manual page in case we find that the data on it is out of date and clearly causing issues and complaints, further maintenance work on Gnu cc isn't cleared out to the client, subsequently, there are no other options, such as updating the Information record and the man manual. There's time for this. The GNU Extend accepts that man pages are out of date which time would be way better went through somewhere else.",refA,-15.0,61.0,-1.0,manuals,GCC-0,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新 man 手册, 因为其他维护 Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为 man 手册是过时产物, 应该把时间用到别的地方.","We'll halt posting this manual page in case we find that the data on it is out of date and clearly causing issues and complaints, further maintenance work on Gnu cc isn't cleared out to the client, subsequently, there are no other options, such as updating the Information record and the man manual. There's time for this. The GNU Extend accepts that man pages are out of date which time would be way better went through somewhere else."
165,"See the Information record ""gee"" or the Utilizing and Porting GNU CC (for adaptation 2.0) (ft&/HAIZE#H GNU CC 2.0) manual for the foremost later and comprehensive documentation. Both are taken from the gee.texinfo unique Texinfo record.",refA,-2.0,71.0,-7.0,manuals,GCC-0,"如果需要完整和最新的文档, 请查阅 Info 文件 `gee' 或 Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自 Texinfo 原文件 gee. texinfo.","See the Information record ""gee"" or the Utilizing and Porting GNU CC (for adaptation 2.0) (ft&/HAIZE#H GNU CC 2.0) manual for the foremost later and comprehensive documentation. Both are taken from the gee.texinfo unique Texinfo record."
166,"Depiction (Portrayal) (Portrayal) Compilers for C and C++ are combined. Both of them perform one or more of the taking after four forms when handling input records: preprocessing (preprocessing), Hii (compilation), (get together), and Insignificant (connecting).",refA,-3.0,65.0,-25.0,manuals,GCC-0,"描述 (DESCRIPTION) C 和 C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","Depiction (Portrayal) (Portrayal) Compilers for C and C++ are combined. Both of them perform one or more of the taking after four forms when handling input records: preprocessing (preprocessing), Hii (compilation), (get together), and Insignificant (connecting)."
167,"The source record addition demonstrates the dialect of the source record, but it moreover decides the compiler's default arrangement:",refA,-1.0,67.5,-25.0,manuals,GCC-0,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The source record addition demonstrates the dialect of the source record, but it moreover decides the compiler's default arrangement:"
168,"The preprocessed record (.i) is treated as a c record by gcc, who too sets the link's organize to c，",refA,-3.0,67.0,-6.0,manuals,GCC-0,"gcc 认为预处理后的文件(.i) 是 c 文件, 并且设定 c 形式的连接，","The preprocessed record (.i) is treated as a c record by gcc, who too sets the link's organize to c，"
169,"g++ considers the preprocessed record (.i) to be a c++ record, and sets the interface in c++ shape.",refA,-3.0,68.5,0.0,manuals,GCC-0,"g++ 认为预处理后的文件 (.i) 是 c++ 文件 ,并且设定 c++ 形式的连接.","g++ considers the preprocessed record (.i) to be a c++ record, and sets the interface in c++ shape."
170,The dialect sort and ensuing operations are shown by the post-level title of the source record:,refA,-1.0,68.5,-5.0,manuals,GCC-0,源文件后级名指出语言种类以及后期的操作:,The dialect sort and ensuing operations are shown by the post-level title of the source record:
189,Choice for Code Era,refA,-0.0,57.5,0.0,manuals,GCC-1,代码生成选项 (Code Generation Option),Choice for Code Era
190,In general Choice,refA,-0.0,68.0,0.0,manuals,GCC-1,总体选项 (Overall Option),In general Choice
191,Demonstrate clearly that dialect is the dialect of any extra input records (rather than the default choice from the conclusion of the filename).,refA,-0.0,72.5,0.0,manuals,GCC-1,明确指出后面输入文件的语言为 language (而不是从文件名后绥得到的默认选择).,Demonstrate clearly that dialect is the dialect of any extra input records (rather than the default choice from the conclusion of the filename).
192,"This alternative is appropriate to all input records after that up until the following ""-x"" choice. dialect not required",refA,-2.1,67.5,-7.0,manuals,GCC-1,"这个选项应用于后面所有的输入文件, 直到遇着下一个 `-x' 选项 .language 的可选","This alternative is appropriate to all input records after that up until the following ""-x"" choice. dialect not required"
193,"To guarantee that taking after records are handled in agreement with the record title RE AS E ""-x"" choice, cripple any express dialect determination.",refA,-5.0,63.0,-25.0,manuals,GCC-1,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件 RE AS E ` -x' 选项).","To guarantee that taking after records are handled in agreement with the record title RE AS E ""-x"" choice, cripple any express dialect determination."
194,"You'll be able utilize the ""-x"" choice (or Ok taking after the record title) to tell Geo where to begin in the event that you fair work a parcel of the four phases (preprocessing, compilation, get together, and connecting). You'll utilize the “-c,” “-s,” or the “-E” alternative to tell Geo where to end, be mindful that a few choices, such “-x cpp-output -E,” cause MEF to break even with 0, ETER, compile or put together source records. ATI Period GCC substitutes the source record title by default with "".o"" and "".ec."" The -o alternative permits the choice of extra names, after the -ec alternative, GCC overlooks any unrecognized input content. -S F anything.",refA,-11.0,80.0,-25.0,manuals,GCC-1,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用 ` -x' 选项 (或文件名后 Ah) 告诉 geo 从哪里开始,用 `~-c' ，`-s' ,或 `-E' 选项告诉 geo 到哪里结束.注意,某些选项组合 (例如 ，`-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用 ` .o' 蔡换源文件名后级 ` .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略 -ec 选项后面任何无法识别的输入文伯 -S F 何事情.","You'll be able utilize the ""-x"" choice (or Ok taking after the record title) to tell Geo where to begin in the event that you fair work a parcel of the four phases (preprocessing, compilation, get together, and connecting). You'll utilize the “-c,” “-s,” or the “-E” alternative to tell Geo where to end, be mindful that a few choices, such “-x cpp-output -E,” cause MEF to break even with 0, ETER, compile or put together source records. ATI Period GCC substitutes the source record title by default with "".o"" and "".ec."" The -o alternative permits the choice of extra names, after the -ec alternative, GCC overlooks any unrecognized input content. -S F anything."
195,The target record.,refA,-2.0,65.5,-25.0,manuals,GCC-1,了的目标文件.,The target record.
196,Stops after compilation and does not perform get together.,refA,-2.0,69.5,0.0,manuals,GCC-1,"编译后即停止, 不进行汇编件.",Stops after compilation and does not perform get together.
197,"Since the constructing agents on those frameworks cannot examined from channels, utilize channels instead of brief records to move between the different compilation stages, this issue does not exist within the GNU constructing agent, constructing agents can utilize C ""lingos"" that bolster ANSI-compliant standard C programs.",refA,-4.0,70.0,-1.0,manuals,GCC-1,"在编译过程的不同阶段间使用管道而非临时文件进行工作, 因为那些系统的汇编器不能从管道读取数据，GNU 的汇编器没有这个问题，汇编器能够接受的 C ""方言 "": 支持符合 ANSI 标准的 C 程序.","Since the constructing agents on those frameworks cannot examined from channels, utilize channels instead of brief records to move between the different compilation stages, this issue does not exist within the GNU constructing agent, constructing agents can utilize C ""lingos"" that bolster ANSI-compliant standard C programs."
198,"This would impair ANSI trigraph highlights like unix and vax, which are stamped as welcome but occasionally utilized, as well as those that are utilized indeed in case they are not welcome and a few include watchwords in GNU Cc that are contradictory with ANSI Cc, all standard libraries have get to to (Explanation: Facilitated environment (facilitated environment)), and the most work returns an int esteem, the endless larger part of programs, barring the part, serve as an illustration, there's no standard library within the related free environment (unsupported environment), and the program section require not always be fundamental. Most The kernel of the working framework is the foremost self-evident case, see the foremost later data on the gcc site for more data.",refA,-16.1,76.5,-25.0,manuals,GCC-1,"这样就会关闭 GNU Cc 中某些不兼容 ANSI Cc 的特性关键字, 以及诸如 unix 和 vax 这些表明当迎和极少使用的 ANSI trigraph 特性,以及禁上尽管使 用了(译注 :宿主环境 (hosted environment) 下所有的标准库可用，main 函数返回 一个 int 值, 典型例子是除了内核以外几乎所有的程序.对应的独立环境 (f£reestanding environment) 不存在标准库, 程序入口也不一定是 main, 最明显的例子就是操作系统内核.详情参考 gcc 网站最近的资料)","This would impair ANSI trigraph highlights like unix and vax, which are stamped as welcome but occasionally utilized, as well as those that are utilized indeed in case they are not welcome and a few include watchwords in GNU Cc that are contradictory with ANSI Cc, all standard libraries have get to to (Explanation: Facilitated environment (facilitated environment)), and the most work returns an int esteem, the endless larger part of programs, barring the part, serve as an illustration, there's no standard library within the related free environment (unsupported environment), and the program section require not always be fundamental. Most The kernel of the working framework is the foremost self-evident case, see the foremost later data on the gcc site for more data."
235,Official blend,refA,-1.0,42.0,0.0,manuals,wdr-0,执行摘要,Official blend
236,COVID-19's impacts on the pharmaceutical showcase,refA,-1.0,63.5,0.0,manuals,wdr-0,新冠肺炎对毒品市场的影响,COVID-19's impacts on the pharmaceutical showcase
237,The impacts can be comparable to the monetary emergency of 2008,refA,-0.0,70.5,0.0,manuals,wdr-0,其影响可能类似于2008年的经济危机,The impacts can be comparable to the monetary emergency of 2008
238,The globe is right now encountering an unparalleled emergency as a result of the COVID-19 scourge.,refA,-0.0,83.5,0.0,manuals,wdr-0,全球性的新冠肺炎疫情已使全世界陷入前所未有的危机。,The globe is right now encountering an unparalleled emergency as a result of the COVID-19 scourge.
239,"The affliction has disabled wellbeing frameworks in a few countries to the point of collapse, and government confinements have seriously disturbed the world economy.",refA,-0.0,80.0,0.0,manuals,wdr-0,在许多国家，这一疾病己使医疗服务机构穷于应付，几近崩溃，各国政府实施的限制措施已在全球经济中造成了严重紊乱。,"The affliction has disabled wellbeing frameworks in a few countries to the point of collapse, and government confinements have seriously disturbed the world economy."
240,"The outbreak's impacts on the pharma industry are vague and difficult to estimate, but they may be critical.",refA,-0.0,80.0,0.0,manuals,wdr-0,对于毒品市场，这场疫情的影响尚不清楚，也很难预测，但有可能影响深远。,"The outbreak's impacts on the pharma industry are vague and difficult to estimate, but they may be critical."
241,"Due to the constrained get to to antecedents and essential chemicals caused by development confinements, certain makers may be obliged to create modern strategies of medicine generation.",refA,-0.0,71.5,0.0,manuals,wdr-0,一些生产者可能会被迫寻找新的方法来制造毒品，因为限制流动的同时也限制了前体和基本化学品的获取。,"Due to the constrained get to to antecedents and essential chemicals caused by development confinements, certain makers may be obliged to create modern strategies of medicine generation."
242,"Due to travel limitations, traffickers may got to discover elective courses and methods to cross nations.",refA,-1.0,73.0,0.0,manuals,wdr-0,贩运者由于旅行限制而无法越境，可能不得不寻找新的路线和方法。,"Due to travel limitations, traffickers may got to discover elective courses and methods to cross nations."
243,Governments' capacity to respond may be blocked on the off chance that sedate utilize and accessibility designs move.,refA,-1.0,69.0,0.0,manuals,wdr-0,毒品使用和提供的模式可能会改变，政府的应对能力也可能会受到阻碍。,Governments' capacity to respond may be blocked on the off chance that sedate utilize and accessibility designs move.
244,"In spite of the fact that the COVID-19 move is bizarre, there are a few lessons to be learned from other emergencies.",refA,-2.0,78.5,0.0,manuals,wdr-0,新冠肺炎带来的转变是前所未有的，但还是可以从以往的危机中吸取一些经验教训。,"In spite of the fact that the COVID-19 move is bizarre, there are a few lessons to be learned from other emergencies."
280,Expanded complexity,refA,-2.0,82.5,0.0,manuals,wdr-1,复杂性增强,Expanded complexity
281,"Whereas the sum of chemicals not subject to worldwide control is unfaltering, the presentation of unused, possibly perilous opioids is on the rise, the pharmaceutical industry is getting trickier to explore.",refA,-1.1,49.5,-5.0,manuals,wdr-1,非国际管制物质的出现情况稳定，但有潜在危害的新型类阿片正在增多毒品市场正日趋复杂。,"Whereas the sum of chemicals not subject to worldwide control is unfaltering, the presentation of unused, possibly perilous opioids is on the rise, the pharmaceutical industry is getting trickier to explore."
282,"Numerous engineered drugs, numerous of which are not controlled universally, have been included to plant-based opiates like pot, cocaine, and heroin. Medicate utilization for purposes other than treating ailment is additionally rising rapidly.",refA,-0.0,68.0,-1.0,manuals,wdr-1,除大麻、可卡因和海洛因等植物类物质之外，已经增添了数百种合成毒品，其中许多并不在国际管制之下。药品的非医疗使用也快速增多。,"Numerous engineered drugs, numerous of which are not controlled universally, have been included to plant-based opiates like pot, cocaine, and heroin. Medicate utilization for purposes other than treating ailment is additionally rising rapidly."
283,"On the residential showcase of Part States, around 500 modern dynamic chemicals are presented each year.",refA,-0.0,51.5,0.0,manuals,wdr-1,会员国的国内市场每年约有500种新型活性物质。,"On the residential showcase of Part States, around 500 modern dynamic chemicals are presented each year."
284,"These days, stimulants make up the larger part of these, taken after by manufactured cannabinoid receptor agonists and a little number of opioids.",refA,-1.0,66.5,0.0,manuals,wdr-1,目前其中大多是兴奋剂，其次是合成的大麻素受体激动剂和少量的类阿片。,"These days, stimulants make up the larger part of these, taken after by manufactured cannabinoid receptor agonists and a little number of opioids."
285,"NPS numbers have stabilized for the most part, but the proportions have moved.",refA,-0.0,64.0,-25.0,manuals,wdr-1,虽然新型精神活性物质的总体数量已经稳定下来，但比例发生了变化。,"NPS numbers have stabilized for the most part, but the proportions have moved."
286,"In 2014, opioid NPS made up fair 2% of all NPS found; by 2018, this extent had expanded to 9%.",refA,-0.0,51.5,0.0,manuals,wdr-1,"在2014年确定的新型精神活性物质种类总数中，类阿片新型精神活性物质仅占2%,但到2018年，这一数字己上升至9%。","In 2014, opioid NPS made up fair 2% of all NPS found; by 2018, this extent had expanded to 9%."
287,"Overdose passing  from NPS opioids, numerous of which are fentanyl analogs, have been reported in North America and, to a lesser degree, abroad.",refA,-1.0,57.0,-5.0,manuals,wdr-1,类阿片新型精神活性物质中有许多是芬太尼的类似物，其药效和危害已得到证明，在北美导致了过量死亡事件，其他区域也有，但程度较轻。,"Overdose passing  from NPS opioids, numerous of which are fentanyl analogs, have been reported in North America and, to a lesser degree, abroad."
288,Fentanyl is utilized in North America to create fake pharmaceutical painkillers or as a doping specialist for heroin and other substances like cocaine and methamphetamine.,refA,-5.0,68.0,0.0,manuals,wdr-1,在北美，芬太尼有的用作海洛因和其他毒品（包括可卡因和甲基苯丙胺）的掺杂剂，有的用来制造假冒的药用类阿片。,Fentanyl is utilized in North America to create fake pharmaceutical painkillers or as a doping specialist for heroin and other substances like cocaine and methamphetamine.
289,"There's a few sign that NPS stimulants are infused in Europe as well: Much of the remains from utilized syringes are recolored with NPS, which can deliver stimulants, agreeing to a ponder done on them in six European cities",refA,-2.1,62.0,-25.0,manuals,wdr-1,一些证据表明，欧洲也有注射新型精神活性物质兴奋剂的现象：一项对欧洲六个城市废弃注射器残留物的研宄发现，许多注射器都沾有产生兴奋作用的新型精神活性物质》,"There's a few sign that NPS stimulants are infused in Europe as well: Much of the remains from utilized syringes are recolored with NPS, which can deliver stimulants, agreeing to a ponder done on them in six European cities"
314,Patterns and Changes in Arrangement,refA,-0.0,54.5,0.0,manuals,wdr-2,政策变化和变化趋势,Patterns and Changes in Arrangement
315,Cannabis utilization contains a inclination to rise in purviews where it is authorized for recreational utilize,refA,-0.0,71.5,0.0,manuals,wdr-2,非医疗使用大麻合法化的法域大多有大麻使用增多的趋势,Cannabis utilization contains a inclination to rise in purviews where it is authorized for recreational utilize
316,"The generation of cannabis items for non-medical utilize is legitimate in eleven wards over Canada, Uruguay, and the Joined together States.",refA,-5.0,63.5,0.0,manuals,wdr-2,加拿大、乌拉圭和美国的11个法域允许制造大麻产品供非医疗使用。,"The generation of cannabis items for non-medical utilize is legitimate in eleven wards over Canada, Uruguay, and the Joined together States."
317,"The larger part of these locales have seen a rise in cannabis utilize since legalization, be that as it may, other purviews without such enactment have moreover seen this design.",refA,-0.0,73.0,0.0,manuals,wdr-2,在其中多数法域，大麻使用自合法化以来有所增多，尽管在其他未将非医疗使用大麻合法化的法域也观察到了同样的趋势。,"The larger part of these locales have seen a rise in cannabis utilize since legalization, be that as it may, other purviews without such enactment have moreover seen this design."
318,"Grown-up non-medical pot utilize has surged, particularly within the past month, and day by day or nearly every day utilize has surpassed the national normal since 2012 in Colorado and Washington, two of the primary US states to endorse laws.",refA,-7.0,79.0,-11.0,manuals,wdr-2,在美国最早通过立法的两个州科罗拉多州和华盛顿州，成年人非医疗使用大麻的情况增加，特别是过去一个月以及每天或几乎每天使用的情况增多，自2012年起便已超过了全国平均水平。,"Grown-up non-medical pot utilize has surged, particularly within the past month, and day by day or nearly every day utilize has surpassed the national normal since 2012 in Colorado and Washington, two of the primary US states to endorse laws."
319,"Numerous signs point to an upsurge in cannabis utilize in Uruguay since 2011, with utilization about multiplying within the past month.",refA,-1.0,83.0,0.0,manuals,wdr-2,所有指标都显示，自2011年以来，乌拉圭的大麻使用情况有所增加，上月使用情况几乎翻了一番。,"Numerous signs point to an upsurge in cannabis utilize in Uruguay since 2011, with utilization about multiplying within the past month."
320,This appears that visit and standard cannabis utilize is the essential cause of the rise.,refA,-0.0,78.0,0.0,manuals,wdr-2,这表明增加的主要原因是经常和频繁使用大麻。,This appears that visit and standard cannabis utilize is the essential cause of the rise.
321,Short-term information from Canada moreover demonstrate that a rise in utilization coincided with the legitimate market's development from 2018 to 2019.,refA,-1.0,83.5,0.0,manuals,wdr-2,加拿大的短期数据也表明，2018年至2019年合法市场扩大的同时，使用量也在增加。,Short-term information from Canada moreover demonstrate that a rise in utilization coincided with the legitimate market's development from 2018 to 2019.
322,40% of cannabis customers in 2019 in any case proceeded to buy certain merchandise from unlawful sources.,refA,-0.0,80.0,0.0,manuals,wdr-2,然而，2019年仍有40%的大麻使用者靠非法来源获得某些产品。,40% of cannabis customers in 2019 in any case proceeded to buy certain merchandise from unlawful sources.
323,Is the sharp decrease in worldwide seizures of pot herb due to cannabis legalization?,refA,-0.0,83.5,0.0,manuals,wdr-2,全球大麻药草缉获量暴跌的背后原因是大麻合法化？,Is the sharp decrease in worldwide seizures of pot herb due to cannabis legalization?
349,Most recent patterns,refA,-2.0,62.0,0.0,manuals,wdr-3,最新趋势,Most recent patterns
350,"Opioids = most dangerous, marijuana = most used",refA,-5.0,54.5,0.0,manuals,wdr-3,吸毒大麻是最常用的物质，类阿片危害最大,"Opioids = most dangerous, marijuana = most used"
351,Cannabis was the top substance used globally in 2018 by 0.192 billion people.,refA,-1.0,75.0,0.0,manuals,wdr-3,据估计，2018年使用大麻的有 1.92 亿人，使之成为全球使用最多的毒品。,Cannabis was the top substance used globally in 2018 by 0.192 billion people.
352,"58 million people used opioids in 2018, in contrast.",refA,-0.0,75.5,0.0,manuals,wdr-3,"相比之下，2018年使用类阿片的有5,800万人。","58 million people used opioids in 2018, in contrast."
353,"Few opioid users, unnoticed risks.",refA,-1.0,53.5,0.0,manuals,wdr-3,但阿片类药物的相关危害却因使用者较少而受到忽视。,"Few opioid users, unnoticed risks."
