id,source,reference,target,error_span,category,severity,type,source_lang,target_lang
72,这就是亚马逊的处理方式？,Does Amazon handle it in this manner?,<v> Is this how </v> Amazon handles it?, Is this how ,no-error,no-error,gp,Chinese,English
73,宾利表确实不错。,The timepieces made by Bentley are excellent.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,The <v> Bentley watch is </v> indeed good.‏‏‏‏, Bentley watch is ,no-error,no-error,gp,Chinese,English
74,个人养老金理财产品终于上线了。,Items for overseeing individual benefits riches have at long last been presented.,Personal pension wealth <v> management products are </v> finally launched., management products are ,no-error,no-error,gp,Chinese,English
75,虽然说过去很久，但是还是要来吐吐槽。,I still want to voice my displeasure even if it's been a while.,"Although <v> it's been a long </v> time, I still have to complain.", it's been a long ,no-error,no-error,gp,Chinese,English
76,2023-02-11 13:09:10 [来源:新华社] [责编:李絮枫] 字体:【大中小】,2023-02-11 13:09:10 [Source: Xinhua News Agency] [Editor in charge: Li Xufeng] Font: [Large Middle Small],"February <v> 11, 2023, 13:09:10 [Source: </v> Xinhua News Agency] [Editor: Li Xufeng] Font: [Large Medium Small]"," 11, 2023, 13:09:10 [Source: ",no-error,no-error,gp,Chinese,English
77,击落的地点距离阿拉斯加海岸十英里。,"Ten miles off Alaska's coast, it was shot down.",The <v> shootdown took place 10 </v> miles off the coast of Alaska., shootdown took place 10 ,no-error,no-error,gp,Chinese,English
78,遗憾的是版型属于瘦型的，更适合年轻人。,"Sadly, the version is lacking in substance and would be better suited for young individuals.","<v> Unfortunately, the style is </v> slim fit, which is more suitable for young people."," Unfortunately, the style is ",no-error,no-error,gp,Chinese,English
79,同抗中共美日菲达成防卫共识,"The US, Japan, and the Philippines reach a defense consensus against the CCP","Combating the CCP, the US, Japan, and the <v> Philippines reached a defense </v> agreement", Philippines reached a defense ,no-error,no-error,gp,Chinese,English
80,因此，我们的党失去了一位重要领导人。,"Therefore, our party has lost an important leader.","As a result, our <v> party lost an important </v> leader.", party lost an important ,no-error,no-error,gp,Chinese,English
81,双十一的价格比黑五贵不少。,Black Friday is substantially cheaper than Double Eleven in terms of price.,The price of <v> the Double Eleven is </v> much higher than that of the Black Five., the Double Eleven is ,no-error,no-error,gp,Chinese,English
82,合成类阿片的非医疗使用加剧了公共卫生危机,Synthetic opioid abuse worsens public health crisis,The non-medical use <v> of synthetic opioids has </v> exacerbated the public health crisis., of synthetic opioids has ,no-error,no-error,gp,Chinese,English
83,新加坡旅游业复苏强劲入境旅客比2021年增长19倍,"Singapore tourism recovers strongly, arrivals up 19 times compared to 2021",Singapore's tourism industry rebounds strongly <v> with a 19-fold increase </v> in inbound tourists compared to 2021., with a 19-fold increase ,no-error,no-error,gp,Chinese,English
84,有点心疼那个产品设计师。,The product designer is in my sympathy.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,<v> I feel a bit </v> sorry for that product designer.‏, I feel a bit ,no-error,no-error,gp,Chinese,English
85,没有实力的企业根本不可能做到这样，也不敢这么做！,"This is difficult for a corporation lacking in strength, and it would be foolish to attempt it!","It <v> is impossible, and dare </v> not, for a firm without strength to do so!"," is impossible, and dare ",no-error,no-error,gp,Chinese,English
86,码位范围码位数字符数,Code digit count and range‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,Code Position Range <v> Number of Code Positions </v> Number of Characters‏‏‏‏, Number of Code Positions ,no-error,no-error,gp,Chinese,English
87,市场担心Alphabet不及竞争对手微软。,"The market is concerned that Alphabet may not be able to compete with its rival, Microsoft.",The market is <v> worried that Alphabet is </v> inferior to its competitor Microsoft., worried that Alphabet is ,no-error,no-error,gp,Chinese,English
88,经过一个晚上空调房依然能保持很高的温度。,"Even after a night, the air-conditioned space can continue to keep a high temperature.","After a night in an air-conditioned <v> room, it can still </v> maintain a high temperature."," room, it can still ",no-error,no-error,gp,Chinese,English
89,援外医疗是我国援外工作的重要内容。,Medical aid to foreign countries is an important part of China's foreign aid work.,Medical aid abroad <v> is an important part </v> of our country's foreign aid work., is an important part ,no-error,no-error,gp,Chinese,English
90,从厦门寄到福州，为什么要四五天啊！,Why does sending it from Xiamen to Fuzhou take four or five days!,Why <v> does it take four </v> or five days to send it from Xiamen to Fuzhou!, does it take four ,no-error,no-error,gp,Chinese,English
91,马马虎虎的产品，和期望有差距,A gap exists between expectations and shoddy products,The product <v> is mediocre and does </v> not meet expectations., is mediocre and does ,no-error,no-error,gp,Chinese,English
92,刷头配件在亚马逊买同样便宜。,"On Amazon, brush head accessories are equally affordable.",<v> The brush head attachments </v> are just as cheap on Amazon., The brush head attachments ,no-error,no-error,gp,Chinese,English
93,吸毒大麻是最常用的物质，类阿片危害最大,"Opioids = most dangerous, marijuana = most used","Marijuana is the most commonly used substance, <v> while opioids pose the </v> greatest harm.", while opioids pose the ,no-error,no-error,gp,Chinese,English
94,南京楼市再现“差价赔付”-中新网,"The Nanjing genuine domain showcase is back, ""paying for cost contrast,"" concurring to Chinanews com","""Price Difference Compensation"" Reappears in Nanjing Real Estate <v> Market - China News </v> Network", Market - China News ,no-error,no-error,gp,Chinese,English
95,然后连接精灵球的话会送一个梦幻。,"After that, if you link the genie ball, a fantasy will be sent.","Then if you connect to <v> the Poke Ball, you </v> will get a Mew."," the Poke Ball, you ",no-error,no-error,gp,Chinese,English
96,2022年新加坡旅游市场逐步重新启动和恢复。,"In 2022, the Singapore tourism market will gradually restart and recover.","In 2022, the Singapore <v> tourism market will gradually </v> restart and recover.", tourism market will gradually ,no-error,no-error,gp,Chinese,English
97,1.前面板，旋钮都塑料的。,1. The knobs and front panel are both composed of plastic.,1. The <v> front panel and the </v> knobs are all made of plastic., front panel and the ,no-error,no-error,gp,Chinese,English
98,还出现有一个声音高喊“伊斯兰共和国去死”。,"There was also a voice shouting ""Death to the Islamic Republic"" during the interruption.","There was also a voice shouting, <v> ""Death to the Islamic </v> Republic."""," ""Death to the Islamic ",no-error,no-error,gp,Chinese,English
99,不提倡退货，但是这样的服务，在中国仅此一家。,"Although returns are not advised, this service is the only one offered in China.","<v> Returns are not encouraged, </v> but this kind of service is unique in China."," Returns are not encouraged, ",no-error,no-error,gp,Chinese,English
100,简直怀疑人生了好么！,"Just questioned life, okay!",I'm not <v> sure what to do </v> with my life., sure what to do ,no-error,no-error,gp,Chinese,English
101,但是以前没有买过类似商品，无法比价！,"However, because I have never purchased identical things, I am unable to compare pricing!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","But <v> I've never bought similar </v> products before, so I can't compare prices!‏", I've never bought similar ,no-error,no-error,gp,Chinese,English
102,不退货是因为作为头带功能不错。,It is not being returned because it makes a good headband.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,The reason for <v> not returning it is </v> because it functions well as a headband.‏, not returning it is ,no-error,no-error,gp,Chinese,English
103,我把锅刷得干干净净地退了，白忙活了半天。,I spent a lot of time working in vain as I scrubbed the pot clean before returning it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,"I scrubbed the pot clean and <v> returned it, having wasted </v> half a day for nothing.‏"," returned it, having wasted ",no-error,no-error,gp,Chinese,English
104,感谢译者给我们带来了精彩的国外的思想和世界。,We are grateful to the translator for introducing us to such amazing foreign ideas and cultures.,<v> Thanks to the translator </v> for bringing us wonderful foreign thoughts and worlds., Thanks to the translator ,no-error,no-error,gp,Chinese,English
105,希望重视包裹的运输保护,Hope to be mindful of package shipment protection,Hope to pay attention to <v> the transportation protection of </v> the package, the transportation protection of ,no-error,no-error,gp,Chinese,English
106,东西还可以，但是亚马逊的售后服务真的比其他网站差太多了,"Things are fine, but Amazon's customer service is significantly inferior to that of competing websites","Things are <v> okay, but Amazon's after-sales </v> service is really much worse than other websites"," okay, but Amazon's after-sales ",no-error,no-error,gp,Chinese,English
107,亚马逊的规定不能周六，周日送货。,Delivery on Saturday and Sunday is not permitted by Amazon's policies.,Amazon's policy does not <v> allow for deliveries on </v> Saturdays and Sundays., allow for deliveries on ,no-error,no-error,gp,Chinese,English
108,优惠后很划算，亚马逊假优惠很伤心,"Extremely nice bargain after the deal, extremely unhappy Amazon false offer","It's a great deal after the discount, but <v> Amazon's fake discounts are </v> very disappointing.", Amazon's fake discounts are ,no-error,no-error,gp,Chinese,English
109,吓得我把收藏夹里的其乐都删了。,I erased all of the music from my favorites because I was so terrified.,I was so scared that <v> I deleted all the </v> Clarks from my favorites., I deleted all the ,no-error,no-error,gp,Chinese,English
110,河南省规范整合口腔种植医疗服务价格-中新网,"Dental embed restorative benefit estimating are standardized and coordinates in Henan territory, agreeing to Chinanews com",Henan Province standardizes and integrates the <v> price of dental implant </v> medical services-Chinanews.com, price of dental implant ,no-error,no-error,gp,Chinese,English
111,举例既有国内的又有国外的;既有知名企业家或销售员又有名不见经传的人。,"There are both domestic and foreign entrepreneurs or salespeople, for example, as well as unknown individuals.",Examples include both domestic and <v> foreign ones; both well-known </v> entrepreneurs or salespeople and unknown people., foreign ones; both well-known ,no-error,no-error,gp,Chinese,English
112,新的买好了，就想着马上把亚马逊的订单给取消。,I planned to cancel the Amazon order as soon as I purchased the new one.,"After buying the <v> new one, I thought </v> about cancelling the Amazon order immediately."," new one, I thought ",no-error,no-error,gp,Chinese,English
113,亚马逊找不到投诉的地方。,Amazon is unable to lodge a complaint anywhere.,I can't find <v> a place to complain </v> on Amazon., a place to complain ,no-error,no-error,gp,Chinese,English
114,买贵退差价！,Buy cost distinction discounted!,"Buy at a higher price, get <v> a refund for the </v> difference!", a refund for the ,no-error,no-error,gp,Chinese,English
115,不足：镜面容易划伤、进灰尘。,Shortcomings: The mirror surface is vulnerable to dust buildup and scratches.,Disadvantages: The <v> mirror is easily scratched </v> and dust can get in., mirror is easily scratched ,no-error,no-error,gp,Chinese,English
116,"编译后即停止, 不进行汇编件.",Stops after compilation and does not perform get together.,"After compilation, it stops and <v> does not proceed to </v> assembly.", does not proceed to ,no-error,no-error,gp,Chinese,English
117,5、2分的原因是客服服务还不错。,"5, 2 points because customer service is not subpar.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",5. The reason for the 2 points <v> is that the customer </v> service is not bad.‏‏‏‏, is that the customer ,no-error,no-error,gp,Chinese,English
118,这尼玛哪门子自营商品。,This damn self-operating thing. What kind of thing is it?,What <v> the hell kind of </v> self-operated merchandise is this?, the hell kind of ,no-error,no-error,gp,Chinese,English
119,其中，集成电路年减18.3%，创14年来最大跌势。,"Among them, coordinates circuits experienced the greatest yearly lessening in 14 a long time, falling 18.3% year over year.","<v> Among them, integrated circuits </v> fell by 18.3% annually, marking the largest decline in 14 years."," Among them, integrated circuits ",no-error,no-error,gp,Chinese,English
120,3、对比米开朗基罗的手稿，达芬奇的手稿内容就丰富的多。,"3, The manuscripts of Da Vinci include a lot more information than those by Michelangelo.","In contrast to Michelangelo's <v> manuscripts, Leonardo da Vinci's </v> manuscripts are much richer."," manuscripts, Leonardo da Vinci's ",no-error,no-error,gp,Chinese,English
121,首批个人养老金理财产品开售,Individual benefits riches administration arrangements went on deal in their beginning circular,The first batch of personal pension wealth <v> management products went on </v> sale, management products went on ,no-error,no-error,gp,Chinese,English
122,这鞋很“窄”，虽然前面还留着距离，但是感觉紧紧的。,"This shoe is incredibly ""narrow,"" and despite the fact that there is still some space in the front, it feels tight.","The shoes are quite ""narrow"", even though there's space <v> in the front, they </v> feel tight."," in the front, they ",no-error,no-error,gp,Chinese,English
123,玩具质量不错，吐槽一下包装,"Although the toy is of good quality, I must criticize the packing","The quality of the toy is good, <v> but I have some </v> complaints about the packaging.", but I have some ,no-error,no-error,gp,Chinese,English
124,“全球复苏的重要引擎”-中新网,"An basic driver of the world's recuperation, concurring to Chinanews com","<v> ""The Important Engine of </v> Global Recovery"" - China News Network"," ""The Important Engine of ",no-error,no-error,gp,Chinese,English
125,商品内部怎么可能磨损？,How does anything get worn down inside?,How can the interior of <v> a commodity be worn </v> out?, a commodity be worn ,no-error,no-error,gp,Chinese,English
126,好的产品设计需要匹配的制造工艺来实现,"To accomplish good product design, manufacturing processes must be compatible",Good product design requires <v> a matching manufacturing process </v> to achieve, a matching manufacturing process ,no-error,no-error,gp,Chinese,English
127,商品五星，物流一星，平均三星。,"Three-star average, one-star logistics, five-star product.","Five stars for <v> goods, one star for </v> logistics, and an average of three stars."," goods, one star for ",no-error,no-error,gp,Chinese,English
128,1963年，我国向阿尔及利亚派出第一支援外医疗队。,"In 1963, China sent the first medical team to Algeria to support foreign countries.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","In 1963, <v> our country sent the </v> first foreign medical aid team to Algeria.‏", our country sent the ,no-error,no-error,gp,Chinese,English
129,似乎腰间没有松紧带，想加松点腰围还挺困难。,"There doesn't appear to be an elastic band around the waist, and it is really challenging to make the waistline looser.","It seems there is no <v> elastic waistband, so it's </v> quite difficult to loosen the waist."," elastic waistband, so it's ",no-error,no-error,gp,Chinese,English
130,如果你的脚不是特别瘦那种，不推荐购买这款。,It is not recommended that you acquire this if your feet are not extremely thin.,"If your feet are not particularly <v> slender, it is not </v> recommended."," slender, it is not ",no-error,no-error,gp,Chinese,English
131,中方客服：很抱歉，给你带来损失了，我们给你两条路走：,Customer service in Chinese: We apologize for your loss and offer two solutions:,Chinese customer service: We are <v> very sorry for your </v> loss. We give you two options:, very sorry for your ,no-error,no-error,gp,Chinese,English
132,“保价协议”条件可不少,"The ""ensured estimating assention"" is subject to a number of requirements","There are a lot of conditions <v> in a ""guaranteed price </v> agreement""."," in a ""guaranteed price ",no-error,no-error,gp,Chinese,English
133,全球大麻药草缉获量暴跌的背后原因是大麻合法化？,Is the sharp decrease in worldwide seizures of pot herb due to cannabis legalization?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,Is the legalization of cannabis the <v> reason behind the plunge </v> in global cannabis herb seizures?, reason behind the plunge ,no-error,no-error,gp,Chinese,English
134,如果自己的物流没办法保证服务的，那就干脆不要做电商了！,Don't undertake any e-commerce if your own logistics can't ensure the service!,"If <v> your own logistics can't </v> guarantee the service, then simply stop doing e-commerce!", your own logistics can't ,no-error,no-error,gp,Chinese,English
135,商家发货前做到了为客户着想:),"Prior to delivery, the retailer did it for the benefit of the customers:)",The <v> merchant has considered the </v> customer's needs before shipping :), merchant has considered the ,no-error,no-error,gp,Chinese,English
136,1. 多关注网络安全资讯，提高个人防范意识；,1. Pay more attention to network security information and improve personal awareness of prevention;,1. Pay more attention <v> to cybersecurity information and </v> raise individual awareness of prevention;, to cybersecurity information and ,no-error,no-error,gp,Chinese,English
137,自0xFD308130 至0xFE39FE39 共25200 个码位为用户自定义区。,"Sections = 25200 bits, 0xFD308130-0xFE39FE39.",<v> A total of 25200 </v> code points from 0xFD308130 to 0xFE39FE39 are user-defined regions., A total of 25200 ,no-error,no-error,gp,Chinese,English
138,一位卡赫拉曼马拉什的男子抱着他刚刚获救的猫,A man from Kahramanmarash holds his newly rescued cat,A man from <v> Kahramanmaras holding his recently </v> rescued cat., Kahramanmaras holding his recently ,no-error,no-error,gp,Chinese,English
139,其实都一样好吧，所以海淘。,"They are actually all the same, so international shopping.","Actually, <v> they're all the same, </v> so let's go for overseas online shopping."," they're all the same, ",no-error,no-error,gp,Chinese,English
140,宝宝出生一周购买，保温超强。,The insulation is very sturdy and was bought a week after the baby was delivered.,"I bought <v> it one week after </v> the baby was born, and it has excellent insulation.", it one week after ,no-error,no-error,gp,Chinese,English
141,结果，第二天打电话问，发货了吗？,I called the following day to inquire as a result: Has it been shipped?,"However, when I <v> called the next day </v> to ask if it had been shipped,", called the next day ,no-error,no-error,gp,Chinese,English
142,首先鞋子做工很好，值这个价。,"First and foremost, the shoes' craftsmanship is excellent, and they are well worth the price.","Firstly, the shoes <v> are well made and </v> worth the price.", are well made and ,no-error,no-error,gp,Chinese,English
143,从头到底也没有人来电话联系一下给个解释！,Nobody contacted to explain anything from the start to the finish!,"From the beginning to the end, no <v> one called to give </v> an explanation!", one called to give ,no-error,no-error,gp,Chinese,English
144,因为有台式机，买了之后没怎么用过几次。,"Since I acquired it, I've occasionally not used it because I have a desktop computer.","<v> Because I have a </v> desktop computer, I didn't use it much after buying it.", Because I have a ,no-error,no-error,gp,Chinese,English
145,表3 四字节部分的码位安排(续),"Code point placement in Table 3, four-byte portion (continue)",Table 3 Arrangement <v> of Code Positions in </v> the Four-Byte Part (Continued), of Code Positions in ,no-error,no-error,gp,Chinese,English
