id,source,reference,target,error_span,category,severity,source_lang,target_lang
31,”在新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班开班式上，习近平总书记科学把握现代化建设规律，深入系统阐明实践中需要处理好的一系列重大关系，为我们大力推进中国式现代化提供了科学方法论。,"""At the opening ceremony of the seminar on studying and implementing Xi Jinping's thought on socialism with Chinese characteristics for a new era and the spirit of the 20th Party Congress for the new members and alternate members of the Central Committee and major leading cadres at the provincial and ministerial levels, General Secretary Xi Jinping scientifically grasped the laws of modernization and clarified in depth and systematically a series of major relationships that need to be dealt with in practice, providing a scientific methodology for us to vigorously promote Chinese-style modernization.","At the opening of the seminar of the new members of the Central Committee, alternate members and leading cadres at the provincial and ministerial levels to learn and implement Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era and the Party's <v>Twenty Great Spirits</v>, General Secretary Xi Jinping grasped the laws of modernization construction scientifically, and explained in depth and systematically a series of major relations that need to be handled in practice, providing scientific methodology for us to vigorously promote Chinese-style modernization.",Twenty Great Spirits,Accuracy/Mistranslation,Major,Chinese,English
32,据美联社报道，在加济安泰普省的重灾区努尔达伊镇，这个五口之家在废墟之下受困五天多之后，被成功营救。,"The family of five was successfully rescued after being trapped under the rubble for more than five days in the hard-hit town of Nurday in Gaziantep province, the Associated Press reported.","According to the Associated Press, in the town of <v>Nourdai</v>, a heavily affected area in Gaziantep province, the family of five was rescued after being trapped under the rubble for more than five days.",Nourdai,Accuracy/Mistranslation,Major,Chinese,English
33,据美联社报道，在加济安泰普省的重灾区努尔达伊镇，这个五口之家在废墟之下受困五天多之后，被成功营救。,"The family of five was successfully rescued after being trapped under the rubble for more than five days in the hard-hit town of Nurday in Gaziantep province, the Associated Press reported.","According to the Associated Press, in the town of Nourdai, a heavily affected area in Gaziantep province, the <v>family of five</v> was rescued after being trapped under the rubble for more than five days.",family of five,Accuracy/Mistranslation,Major,Chinese,English
34,近日司警局接获多宗电信诈骗案，不法分子假冒本澳电讯公司向事主发送附有网站连结的诈骗短信，以积分到期须尽快换领奖赏为饵，诱骗事主登入虚假网站进行兑换。,"Recently, the Police Department received a number of telecommunications fraud cases, the criminals faked the Macao Telecommunications Company to send fraud text messages attached to the victim,they need to redeem the reward as soon as possible before  the points expired, deceiving the victim to log in to the false website for exchange.","In a recent case involving a number of telecommunications frauds, the <v>police</v> sent a scam message to the owner of the website, pretending to be the owner of the company, and the reward was exchanged as soon as the points expired, luring the owner to log on to the fake website for exchange.",police,Accuracy/Mistranslation,Major,Chinese,English
35,近日司警局接获多宗电信诈骗案，不法分子假冒本澳电讯公司向事主发送附有网站连结的诈骗短信，以积分到期须尽快换领奖赏为饵，诱骗事主登入虚假网站进行兑换。,"Recently, the Police Department received a number of telecommunications fraud cases, the criminals faked the Macao Telecommunications Company to send fraud text messages attached to the victim,they need to redeem the reward as soon as possible before  the points expired, deceiving the victim to log in to the false website for exchange.","In a recent case involving a number of telecommunications frauds, the police sent a scam message to <v>the owner of the website</v>, pretending to be the owner of the company, and the reward was exchanged as soon as the points expired, luring the owner to log on to the fake website for exchange.",the owner of the website,Accuracy/Mistranslation,Major,Chinese,English
36,考察团于昨今两天分组参观世界遗产“澳门历史城区”、体验澳门大赛车博物馆、“时空穿梭‧游历三巴” —— 大三巴牌坊沉浸式数字体验展、澳品荟、氹仔旧城区，以及多个大型度假村酒店及设施：上葡京、The Karl Lagerfeld、永利皇宫、美狮美高梅、摩珀斯、澳门伦敦人、澳门银河、新濠天地的Artelli多维艺术空间及澳门威尼斯人的teamLab超自然空间等。,"The delegation visited the World Heritage Site ""Historic Centre of Macau"", the Macau Grand Prix Museum, the ""Time Warp"" - an immersive digital experience at the Ruins of St. Paul's, the Ao Pinhe, the Taipa Old Town, as well as several major resorts and facilities: Grand Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, The Mopars, The Londoner, Galaxy Macau, Artelli Multi-Dimensional Art Space at City of Dreams and teamLab Supernatural Space at The Venetian Macau","Over the past two days, the delegation has visited the World Heritage ""Historic Centre of Macau,"" experienced the Macao Grand Prix Museum, ""Time and Space Shuttle,"" the immersive digital experience exhibition of the <v>Grand Sampaibo</v>, the old town of Taipa, as well as several large resort hotels and facilities: Upper Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, Morpeth, Macau Londoners, Macau Galaxy, Artelli Dwarf Art Space in New Haven, and teamLab Supernatural Space of the Venetian of Macau.",Grand Sampaibo,Accuracy/Mistranslation,Major,Chinese,English
37,考察团于昨今两天分组参观世界遗产“澳门历史城区”、体验澳门大赛车博物馆、“时空穿梭‧游历三巴” —— 大三巴牌坊沉浸式数字体验展、澳品荟、氹仔旧城区，以及多个大型度假村酒店及设施：上葡京、The Karl Lagerfeld、永利皇宫、美狮美高梅、摩珀斯、澳门伦敦人、澳门银河、新濠天地的Artelli多维艺术空间及澳门威尼斯人的teamLab超自然空间等。,"The delegation visited the World Heritage Site ""Historic Centre of Macau"", the Macau Grand Prix Museum, the ""Time Warp"" - an immersive digital experience at the Ruins of St. Paul's, the Ao Pinhe, the Taipa Old Town, as well as several major resorts and facilities: Grand Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, The Mopars, The Londoner, Galaxy Macau, Artelli Multi-Dimensional Art Space at City of Dreams and teamLab Supernatural Space at The Venetian Macau","Over the past two days, the delegation has visited the World Heritage ""Historic Centre of Macau,"" experienced the Macao Grand Prix Museum, ""Time and Space Shuttle,"" the immersive digital experience exhibition of the Grand Sampaibo, the old town of Taipa, as well as several large resort hotels and facilities: <v>Upper</v> Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, Morpeth, Macau Londoners, Macau Galaxy, Artelli Dwarf Art Space in New Haven, and teamLab Supernatural Space of the Venetian of Macau.",Upper,Accuracy/Mistranslation,Major,Chinese,English
38,考察团于昨今两天分组参观世界遗产“澳门历史城区”、体验澳门大赛车博物馆、“时空穿梭‧游历三巴” —— 大三巴牌坊沉浸式数字体验展、澳品荟、氹仔旧城区，以及多个大型度假村酒店及设施：上葡京、The Karl Lagerfeld、永利皇宫、美狮美高梅、摩珀斯、澳门伦敦人、澳门银河、新濠天地的Artelli多维艺术空间及澳门威尼斯人的teamLab超自然空间等。,"The delegation visited the World Heritage Site ""Historic Centre of Macau"", the Macau Grand Prix Museum, the ""Time Warp"" - an immersive digital experience at the Ruins of St. Paul's, the Ao Pinhe, the Taipa Old Town, as well as several major resorts and facilities: Grand Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, The Mopars, The Londoner, Galaxy Macau, Artelli Multi-Dimensional Art Space at City of Dreams and teamLab Supernatural Space at The Venetian Macau","Over the past two days, the delegation has visited the World Heritage ""Historic Centre of Macau,"" experienced the Macao Grand Prix Museum, ""Time and Space Shuttle,"" the immersive digital experience exhibition of the Grand Sampaibo, the old town of Taipa, as well as several large resort hotels and facilities: Upper Lisboa, The Karl Lagerfeld, Wynn Palace, MGM <v>MACAU</v>, Morpeth, Macau Londoners, Macau Galaxy, Artelli Dwarf Art Space in New Haven, and teamLab Supernatural Space of the Venetian of Macau.",MACAU,Accuracy/Mistranslation,Major,Chinese,English
39,考察团于昨今两天分组参观世界遗产“澳门历史城区”、体验澳门大赛车博物馆、“时空穿梭‧游历三巴” —— 大三巴牌坊沉浸式数字体验展、澳品荟、氹仔旧城区，以及多个大型度假村酒店及设施：上葡京、The Karl Lagerfeld、永利皇宫、美狮美高梅、摩珀斯、澳门伦敦人、澳门银河、新濠天地的Artelli多维艺术空间及澳门威尼斯人的teamLab超自然空间等。,"The delegation visited the World Heritage Site ""Historic Centre of Macau"", the Macau Grand Prix Museum, the ""Time Warp"" - an immersive digital experience at the Ruins of St. Paul's, the Ao Pinhe, the Taipa Old Town, as well as several major resorts and facilities: Grand Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, The Mopars, The Londoner, Galaxy Macau, Artelli Multi-Dimensional Art Space at City of Dreams and teamLab Supernatural Space at The Venetian Macau","Over the past two days, the delegation has visited the World Heritage ""Historic Centre of Macau,"" experienced the Macao Grand Prix Museum, ""Time and Space Shuttle,"" the immersive digital experience exhibition of the Grand Sampaibo, the old town of Taipa, as well as several large resort hotels and facilities: Upper Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, <v>Morpeth</v>, Macau Londoners, Macau Galaxy, Artelli Dwarf Art Space in New Haven, and teamLab Supernatural Space of the Venetian of Macau.",Morpeth,Accuracy/Mistranslation,Major,Chinese,English
40,考察团于昨今两天分组参观世界遗产“澳门历史城区”、体验澳门大赛车博物馆、“时空穿梭‧游历三巴” —— 大三巴牌坊沉浸式数字体验展、澳品荟、氹仔旧城区，以及多个大型度假村酒店及设施：上葡京、The Karl Lagerfeld、永利皇宫、美狮美高梅、摩珀斯、澳门伦敦人、澳门银河、新濠天地的Artelli多维艺术空间及澳门威尼斯人的teamLab超自然空间等。,"The delegation visited the World Heritage Site ""Historic Centre of Macau"", the Macau Grand Prix Museum, the ""Time Warp"" - an immersive digital experience at the Ruins of St. Paul's, the Ao Pinhe, the Taipa Old Town, as well as several major resorts and facilities: Grand Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, The Mopars, The Londoner, Galaxy Macau, Artelli Multi-Dimensional Art Space at City of Dreams and teamLab Supernatural Space at The Venetian Macau","Over the past two days, the delegation has visited the World Heritage ""Historic Centre of Macau,"" experienced the Macao Grand Prix Museum, ""Time and Space Shuttle,"" the immersive digital experience exhibition of the Grand Sampaibo, the old town of Taipa, as well as several large resort hotels and facilities: Upper Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, Morpeth, Macau Londoners, Macau Galaxy, Artelli <v>Dwarf</v> Art Space in New Haven, and teamLab Supernatural Space of the Venetian of Macau.",Dwarf,Accuracy/Mistranslation,Major,Chinese,English
41,考察团于昨今两天分组参观世界遗产“澳门历史城区”、体验澳门大赛车博物馆、“时空穿梭‧游历三巴” —— 大三巴牌坊沉浸式数字体验展、澳品荟、氹仔旧城区，以及多个大型度假村酒店及设施：上葡京、The Karl Lagerfeld、永利皇宫、美狮美高梅、摩珀斯、澳门伦敦人、澳门银河、新濠天地的Artelli多维艺术空间及澳门威尼斯人的teamLab超自然空间等。,"The delegation visited the World Heritage Site ""Historic Centre of Macau"", the Macau Grand Prix Museum, the ""Time Warp"" - an immersive digital experience at the Ruins of St. Paul's, the Ao Pinhe, the Taipa Old Town, as well as several major resorts and facilities: Grand Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, The Mopars, The Londoner, Galaxy Macau, Artelli Multi-Dimensional Art Space at City of Dreams and teamLab Supernatural Space at The Venetian Macau","Over the past two days, the delegation has visited the World Heritage ""Historic Centre of Macau,"" experienced the Macao Grand Prix Museum, ""Time and Space Shuttle,"" the immersive digital experience exhibition of the Grand Sampaibo, the old town of Taipa, as well as several large resort hotels and facilities: Upper Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, Morpeth, Macau Londoners, Macau Galaxy, Artelli Dwarf Art Space in <v>New Haven</v>, and teamLab Supernatural Space of the Venetian of Macau.",New Haven,Accuracy/Mistranslation,Major,Chinese,English
42,习近平回信勉励援中非中国医疗队队员以仁心仁术造福当地人民以实际行动讲好中国故事- 滚动新闻- 湖南日报网- 华声在线,"Xi Jinping wrote back to encourage the members of the Chinese medical team to aid China and Africa to benefit the local people with benevolence and benevolence, and to tell the story of China with practical actions - News - Hunan Daily - Huasheng Online",Xi Jinping <v>Reply Letter</v> to Encourage Members of China-Africa Medical Team to Benefit the Local People with Renxinren Technique to Tell a Good Chinese Story with Practical Action - Rolling News-Hunan Daily Network- Huasheng Online,Reply Letter,Accuracy/Mistranslation,Major,Chinese,English
43,习近平回信勉励援中非中国医疗队队员以仁心仁术造福当地人民以实际行动讲好中国故事- 滚动新闻- 湖南日报网- 华声在线,"Xi Jinping wrote back to encourage the members of the Chinese medical team to aid China and Africa to benefit the local people with benevolence and benevolence, and to tell the story of China with practical actions - News - Hunan Daily - Huasheng Online",Xi Jinping Reply Letter to Encourage Members of China-Africa Medical Team to Benefit the Local People with <v>Renxinren Technique</v> to Tell a Good Chinese Story with Practical Action - Rolling News-Hunan Daily Network- Huasheng Online,Renxinren Technique,Accuracy/Mistranslation,Major,Chinese,English
44,习近平回信勉励援中非中国医疗队队员以仁心仁术造福当地人民以实际行动讲好中国故事,Xi Jinping wrote back to encourage China's medical team members to benefit local people with their benevolent hearts and skills and tell the Chinese story with practical actions,Xi Jinping <v>Exhorts</v> Members of China-Africa Medical Corps to Benefit Local People with Practical Actions to Tell Chinese Stories,Exhorts,Accuracy/Mistranslation,Major,Chinese,English
45,习近平回信勉励援中非中国医疗队队员以仁心仁术造福当地人民以实际行动讲好中国故事,Xi Jinping wrote back to encourage China's medical team members to benefit local people with their benevolent hearts and skills and tell the Chinese story with practical actions,Xi Jinping Exhorts Members of China-Africa Medical <v>Corps</v> to Benefit Local People with Practical Actions to Tell Chinese Stories,Corps,Accuracy/Mistranslation,Major,Chinese,English
46,习近平在回信中说，你们在中非克服工作生活上的困难，用心服务当地民众，既是救死扶伤的白衣天使，也是传递情谊的友好使者。,"In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly.","<v>In response to the letter</v>, Xi said that you have overcome the difficulties of your working life in Central Africa and have served the local people with all your heart, and that you are both an angel in white clothes who saves the lives of the wounded and a friendly messenger who conveys friendship.",In response to the letter,Accuracy/Mistranslation,Major,Chinese,English
47,习近平在回信中说，你们在中非克服工作生活上的困难，用心服务当地民众，既是救死扶伤的白衣天使，也是传递情谊的友好使者。,"In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly.","In response to the letter, Xi said that you have overcome the difficulties of your <v>working life</v> in Central Africa and have served the local people with all your heart, and that you are both an angel in white clothes who saves the lives of the wounded and a friendly messenger who conveys friendship.",working life,Accuracy/Mistranslation,Major,Chinese,English
