id,source,reference,target,error_span,category,severity
10,送来成这个样子，不仅包装压<v>扁</v>，电器包装也是开的，也不知道有没有调包。,"When it was delivered in this manner, not only was the packaging flattened, but the packaging of electrical appliances was also opened, I'm not sure if there has been a package update.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","It came out looking like this. Not only was the package flattened, but the electrical appliance package was also opened, and I don't know if the package had been adjusted.‏‏‏‏‏‏‏‏‏‏‏‏",扁,omission,major
11,开始我以为是<v>那首歌音效</v>的缘故没有多想，可后来听了半天我才发现这个问题很严重，不光偏音，低音效果也没我之前那个听起来好了，还有些许杂音，是只有我买的这个紫色的有这个现象吗？还是现在耳机制造工艺确实不行了呢?,"I initially assumed it was just the song's sound effect and didn't give it much attention, but after giving it a lot of time I realized the issue was quite significant, the bass effect was not as good as my prior one, in addition to the pitch deviation, additionally, there was some noise, has the purple one I purchased had this phenomenon? Or is the current earphone manufacturing method ineffective?","At first I thought it was because of the sound, but after listening for half a day I realized that the problem was very serious, and not only is the distortion, the bass and the sound that I got before that sounded good, there was some noise, is it only the purple that I bought that this phenomenon has?",那首歌音效,omission,major
12,我们竭诚欢迎海内外客商前来合作，<v>共创辉煌</v>！,Customers from both home and abroad are cordially invited to work with us and produce greatness together!,We sincerely welcome foreign and domestic businessmen to come and work together!,共创辉煌,omission,major
13,感觉是SONY<v>入门款</v>机器，就那做工，马来西亚出品的。,It has the impression of being a basic Sony device that was only produced in Malaysia.,"The feeling is that SONY is a machine, just do it, it is made in Malaysia.",入门款,omission,major
14,追加：今天对比了以前的UN系列鞋垫（鞋扔了<v>垫</v>留着用），材质比以前差了不少，弹性不如以前，透气也不如以前，就是假假的软。,"Addition: Today I compared the previous UN series insoles (throw away the shoes and save the insoles), and I found that the material is significantly worse than before, the elasticity is lower, and the breathability is lower, it is also counterfeit and soft.","Added: Today's comparison with the previous UN series of shoes (shoes that are thrown away and left to use), the material is much worse than before, less elastic than before, not as breathable as before, so it is a fake soft.",垫,omission,major
15,"关闭任何对语种的明确说明, 因此<v>依据</v>文件名后级处理后面的文件RE AS E ' -x' 选项).","To guarantee that taking after records are handled in agreement with the record title RE AS E ""-x"" choice, cripple any express dialect determination.","Turns off any explicit language specification, so the file RE AS E ' -x ' option after filename postprocessing.",依据,omission,major
16,我试问一下，我用现金支付运费，你们给我返礼品卡，这是要我自己买你们礼品卡<v>就直说啊</v>，还要自己把产品邮寄到德国仓库，这不是买个产品受罪啊!,"Let me ask you this: I pay the shipping charge in cash; will I receive a gift card in return, As a result, I will need to purchase your gift card on my own, I have to mail the item to the German warehouse, purchasing a thing is not illegal at all!","I try to ask, I pay for shipping with cash, you give me back the gift card, this is to buy your gift card myself, but also to mail the product to the German warehouse, this is not a crime to buy a product!",就直说啊,omission,major
17,模仿老港片影调、配上经典粤语歌，打开@芳芳一人<v>食</v>抖音账号，精美的视频令人耳目一新。,Check out @Douyin for a stunning video with a vintage Hong Kong film style and classic Cantonese music.,"Imitating the tone of old Hong Kong movies, accompanied by classic Cantonese songs, the exquisite video is refreshing when you open @ Fangfang's one-person tremolo account.",食,omission,major
18,感觉是SONY入门款机器，<v>就那做工，</v>马来西亚出品的。,It has the impression of being a basic Sony device that was only produced in Malaysia.,"It feels like an entry-level SONY machine, which is made in Malaysia.",就那做工，,omission,major
19,<v>中新网2月11日电题：</v>中国电商行业涌现“新变量”，带货如何做到“内容为王”？,"Chinanews dot com February 11, new variables in China's e-commerce sector, how to make ""content is king""?","China's e-commerce industry has emerged ""new variables"", how to deliver goods to do ""content is king""?",中新网2月11日电题：,omission,major
20,<v>经济观察网记者陈姗</v>基金购买渠道繁杂导致账户信息归集不易？,"Economic Observer reporter Chen Shan, Is it difficult to collect account information due to the complicated purchase channels of funds?","As a result of the complexity of the purchase channels, is it difficult to gather account information about the funds?",经济观察网记者陈姗,omission,major
21,还行吧，第一把<v>面单</v>,"The initial face sheet is alright, so","And the first one,",面单,omission,major
22,<v>陕西省价码高于云南，合格者每次可领取人民币300元现金</v>，完成一定次数的捐精者可获得人民币5000元补贴。,"The price in Shaanxi Province is higher than in Yunnan, with qualified individuals receiving RMB 300 cash per visit and a RMB 5,000 subsidy for completing a certain number of sperm donations.","For example, in the United States, a person who is eligible to receive $5,000 in cash and a person who has completed a certain number of donations can receive $5,000 in cash.",陕西省价码高于云南，合格者每次可领取人民币300元现金,omission,major
23,2月10日，中国理财网发布首批个人养老金<v>理财</v>产品名单，工银理财、农银理财和中邮理财的7只个人养老金理财产品正式发售。,"China Budgetary Organize distributed a list of the beginning bunch of individual annuity riches administration items on February 10, ICBC Riches Administration, Rural Bank of China Riches Administration, and China Post Riches Administration all authoritatively propelled seven individual annuity riches administration items.","On February 10, China Financial Network released the first batch of personal pension product lists, seven personal pension products from China Bank Financial, Farmers Bank Financial, and China Post Financial were officially launched.",理财,omission,major
24,新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班结业- <v>滚动新闻- 湖南日报网- 华声在线</v>,"New members, alternate members and leading cadres at the provincial and ministerial levels of the Central Committee study and implement Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era and the spirit of the 20th Party Congress - Scrolling News - Hunan Daily Online - 华声在线","New members, alternate members, and major leading cadres at the provincial and ministerial levels of the Central Committee study and implement Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era and the spirit of the 20th National Congress of the Communist Party of China.",滚动新闻- 湖南日报网- 华声在线,omission,major
25,<v>重阳问答</v>︱如何看待美国1月非农就业数据大超预期及未来趋势- 经济观察网－ 专业财经新闻网站,Chongyang Q&A ︱ How do you think the US January non-farm payrolls data greatly exceeded expectations and future trends -,The U.S. nonfarm employment data in January exceeds expectations and future trends - Economic Observatory Network - Professional financial news website,重阳问答,omission,major
26,<v>之所以给3星，是因为这个是和</v>人生的初恋买的，交往了快3年，就这样于去年离我而去了，一直到现在。,"Due to the fact that I purchased it with my first love in my life, I gave it 3 stars, after almost 3 years of dating, he abruptly broke up with me last year and has not returned.","It was the first time in my life that I had been in love with someone for three years, and it was the first time in my life that I had been in love with someone else.",之所以给3星，是因为这个是和,omission,major
27,郑州市医疗保障局医药价格和招标采购处处长李云杰：受益的主要是四方，一个是医保，医保的支出少了；医院的占压少了，病人会适当增加；<v>对供应商来说得到了</v>一个市场；对我们患者来说是得利最大的一方，植一颗牙的费用可能要减半甚至更多。,"Li Yunjie, Head of the Zhengzhou Therapeutic Security Bureau's Pharmaceutical Estimating and Offering and Buying Office The Quartet will fundamentally advantage from the taking after: restorative protections, which can result in lower costs; diminished healing center inhabitance; and an satisfactorily expanded understanding populace, a market; our patients stand to pick up the foremost from it, and the cost of a dental embed can be cut in half or more.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Li Yunjie, Director of Medicine Price and Tendering and Purchasing Department of Zhengzhou Medical Security Bureau: The main beneficiaries are the Quartet, one is medical insurance, the expenditure of medical insurance is reduced; the hospital's occupation is less, and the number of patients will increase appropriately; A market; for our patients, it is the party that benefits the most, and the cost of a tooth implant may be halved or even more.‏‏‏‏‏‏‏‏‏‏‏‏‏",对供应商来说得到了,omission,major
28,<v>希望</v>是正品质量有保证，以后是不怎么敢亚马孙买东西的了。,"I'm hoping it's real and of guaranteed quality, In the future, I won't have the guts to order anything from Amazon.","The quality of the product is guaranteed, and it is no longer possible to purchase anything from Amazonia.",希望,omission,major
29,总之我建议不要跟此卖家买东西，<v>买了</v>也是垃圾东西。,"To put it briefly, I advise against purchasing anything from this seller because it is also junk.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","In short, I suggest not to buy things from this seller, it is also rubbish.‏‏‏‏‏‏‏‏",买了,omission,major
30,考察团于昨今两天分组参观世界遗产“澳门历史城区”、体验澳门大赛车博物馆、“时空穿梭‧游历三巴” —— <v>大三巴牌坊</v>沉浸式数字体验展、澳品荟、氹仔旧城区，以及多个大型度假村酒店及设施：上葡京、The Karl Lagerfeld、永利皇宫、美狮美高梅、摩珀斯、澳门伦敦人、澳门银河、新濠天地的Artelli多维艺术空间及澳门威尼斯人的teamLab超自然空间等。,"The delegation visited the World Heritage Site ""Historic Centre of Macau"", the Macau Grand Prix Museum, the ""Time Warp"" - an immersive digital experience at the Ruins of St. Paul's, the Ao Pinhe, the Taipa Old Town, as well as several major resorts and facilities: Grand Lisboa, The Karl Lagerfeld, Wynn Palace, MGM MACAU, The Mopars, The Londoner, Galaxy Macau, Artelli Multi-Dimensional Art Space at City of Dreams and teamLab Supernatural Space at The Venetian Macau","Two days ago, the delegation visited the World Heritage ""Historic City of Macau"", experience the Macau Grand Racing Museum, ""Space and Time Shuttle and Travel Three Buses"" - the immersive digital experience exhibition, the Macau Getaway, the Old Town, as well as a number of large resort hotels and facilities: Shanghai Beijing, The Karl Lagerfeld, Yongley Royal Palace, M.M.G.M., Morpers, Macau Londoners, Macau Galaxy, Artelli multi-dimensional art space in Xinhua and Macau Venetian teamLab. space, etc.",大三巴牌坊,omission,major
31,旅游局组织由香港政府旅游部门、旅游业界及传媒代表组成超过100人的大型香港考察团到澳门，两天(10日及11日)的日程除了工作会议和业界洽谈，香港旅行社业界及传媒代表更分批走访澳门多个旅游景点、酒店及旅游相关设施，为香港市场引进最新的澳门旅游产品，同时促进两地<v>文</v>旅联动，共拓港澳“联线同游”市场。,"MGTO organized a large-scale Hong Kong delegation of over 100 people from the Hong Kong government tourism department, travel trade and media representatives to Macau,in addition to working meetings and trade negotiations, the two-day (10th and 11th) program included visits to a number of tourist attractions, hotels and tourism-related facilities in batches by Hong Kong travel trade and media representatives to introduce the latest Macau tourism products to the Hong Kong market, as well as to promote the linkage of cultural tourism between the two places to jointly develop the ""joint tour"" market of Hong Kong and Macau.","The Hong Kong Tourism Board organized a large delegation of over 100 people from the Hong Kong government's tourism department, the tourism industry and media representatives to Macau, with a two-day (10th and 11th) schedule. In addition to working meetings and industry talks, Hong Kong travel industry and media representatives visited several tourist attractions, hotels and tourism-related facilities in Macau, introducing the latest Macau tourism products to the Hong Kong market, while promoting geographical tourism, and jointly developing the Macau-linked online travel market.",文,omission,major
32,在近日举行的抖音电商“<v>寻找同行者·</v>优质内容分享专场”上，芳芳作为优质创作者代表到场发言，介绍了日常创作的经历和体会。,"At Douyin's e-commerce sharing session, Fang Fang shared her daily creative experience as high-quality content creator.","At the recent ""Quality Content Sharing"" event, Arfang spoke as a representative of high-quality creators, and described the experience of creating everyday.",寻找同行者·,omission,major
33,在信息化<v>建设</v>方面，努力提升企业产品流、物流与信息流的速度与效率，使企业在综合管理能力方面得到了加强和提高，整体提升了企业的现代化管理水平。,"In terms of information construction, efforts have been made to speed up and streamline the flow of products, logistics, and information so that the enterprise has been strengthened and improved in terms of comprehensive management capabilities, and the overall modern management level of the enterprise has improved.","In the area of informatization, efforts have been made to improve the speed and efficiency of the company & apos; s product flow, logistics and information flow, so that the company & apos; s comprehensive management capabilities have been strengthened and improved, and the overall level of modern management has been improved.",建设,omission,major
34,<v>（德国之声中文网）</v>距离土耳其和叙利亚部分地区发生地震已经过去数日，找到幸存者的希望日渐渺茫，然而在周六获救的一家五口却令搜救人员感到无比欣慰。,"((Deutsche Welle Chinese) Days have passed since the earthquake struck parts of Turkey and Syria, and hopes of finding survivors are fading, but the family of five rescued on Saturday was a great relief to searchers.","Days after the quake struck parts of Turkey and Syria, hope of finding survivors fading, but a family of five rescued on Saturday was heartening to search and rescue workers.",（德国之声中文网）,omission,major
35,<v>毛裤的</v>做工、颜色、手感都不错，柔软/薄厚适中，没有煤油味儿。,"The wool pants have good construction, a nice color, a decent amount of softness/thinness, and no kerosene odor.","The workmanship, color, feel are good, soft / thin and moderate, no kerosene flavor.",毛裤的,omission,major
36,这是第二次从亚马逊上购买<v>帮宝适</v>尿布，曾经在宝宝2个月的时候买过一箱，选择了欧洲进口纸张的尿布，第一次购买经历还是比较满意的，宝宝整夜就用一张尿布，的确可以满足12个小时不换尿布。,"I've purchased Pampers diapers from Amazon twice already, my baby was 2 months old when I purchased a box of diapers, I decided on diapers made of imported European paper, I was happy with my first buy in general, All night, the infant used them, without changing diapers, one diaper can last 12 hours.","This is the second time that I bought baby diapers from Amazon, I bought a box once when baby was 2 months old, I chose the diaper from European imported paper, my first time was a good experience, the baby is using a diaper all night, and indeed we could use a baby nap for 12 hours without changing diapers.",帮宝适,omission,major
37,<v>（德国之声中文网）</v>距离土耳其和叙利亚部分地区发生地震已经过去数日，找到幸存者的希望日渐渺茫，然而在周六获救的一家五口却令搜救人员感到无比欣慰。,"((Deutsche Welle Chinese) Days have passed since the earthquake struck parts of Turkey and Syria, and hopes of finding survivors are fading, but the family of five rescued on Saturday was a great relief to searchers.","A few days after the earthquake in parts of Turkey and Syria, the hope of finding survivors is dwindling, but the five members of the family who were rescued on Saturday are a source of great relief for the searchers.",（德国之声中文网）,omission,major
38,<v>希望</v>重视包裹的运输保护,Hope to be mindful of package shipment protection,The importance of transportation protection,希望,omission,major
39,中国电商行业涌现“新变量”，<v>带</v>货如何做到“内容为王”？,"The e-commerce sector in China has ""new variables"" now, how do we achieve ""content is king""?","China's e-commerce industry has emerged ""new variables"", how to achieve ""content is king"" with goods?",带,omission,major
40,首先说一句刚买了几天就发现降价了，差评，<v>本</v>还算不错，性价比高，cpu和显卡足够应付主流网游和相当一部分大型单机了，散热非常好，但屏幕有点漏光(ips屏的通病)，音响质量不太好，硬盘不好(建议自己花点钱加个固态)，昨天拿去售后检测了一下硬件，没有任何问题，自带的win8.1不太好用，建议升级成10，卖家发货很快，各项询问回答的也很快，收到电脑第二天发票就到了，不错，可惜什么赠品都没有。,"First and foremost, I purchased it a few days ago and discovered that the price had been dropped, the book is not bad, but the price is exorbitant, the CPU and graphics card are sufficient for most online games and a few huge single computers, the heat dissipation is very good, but the screen is a bit light leaking (IPS screen) (Common problems), the audio quality is not very good, and the hard disk is not very good (it is recommended to spend some money to add a solid state), I took it to the after-sales service yesterday to test the hardware, no problem, the built-in win8.1 is not very easy to use, It is recommended to upgrade to 10, The merchant delivered the goods immediately and responded to all inquiries promptly, after obtaining the PC, the invoice arrived the following day, not terrible, but there are no gifts unfortunately.","First of all, just bought a few days to find a price reduction, bad reviews, this is not bad, cost-effective, cpu and graphics card enough to cope with the mainstream online games and quite a few large stand-alone, cooling is very good, but the screen is a bit light leakage (ips screen common problem), sound quality is not very good, hard disk is not good (suggest to spend some money to add a solid state), yesterday took the after-sales testing of the hardware, there is no problem, comes with win8.1 is not very easy to use, it is recommended to upgrade to 10, the seller shipped quickly, all inquiries answered quickly, received the computer the next day the invoice arrived, good, but unfortunately no gifts.",本,omission,major
41,昨晚<v>拿回家</v>试了一下，瓶盖推开之后，吸管和盖子之间的距离太近了，因为吸管的位置是正向垂直的，所以儿子总是要把盖子上面的凸起含住喝水，觉得这个地方是否可以改进一下。,"I brought it home and gave it a shot last night, the space between the straw and the bottle cap was too close when the bottle cap was pushed off, because the straw is vertical, my son had to catch the bump on the top to sip water, I believe this location can be enhanced.","I tried it at home last night, after opening the bottle cap, the distance between the straw and the cap is too close, because the position of the straw is vertically straight, so my son always has to hold the protrusion on the cap to drink water, I wonder if this can be improved.",拿回家,omission,major
42,台湾中国国民党副主席夏立言今次访中先后会见<v>中国国</v>台办主任宋涛与中共中央政治局常委王沪宁。,"Xia Liyan, the Vice Chairman of the Chinese Kuomintang (KMT) from Taiwan, met with Song Tao, the Director of the Taiwan Affairs Office of the Communist Party of China (CPC), and Wang Huning, a member of the CPC Central Committee's Political Bureau, during his visit to China.","Xia Liyan, Vice Chairman of the Kuomintang in Taiwan, met with Song Tao, Director of the Taiwan Affairs Office, and Wang Huning, member of the Politburo Standing Committee of the Central Committee of the Communist Party of China.",中国国,omission,major
43,<v>2</v>、表说明书有严重使用褶皱。,"2, The watch's instruction manual has significant use wrinkles.",The table instructions have serious usage creases.,2,omission,major
44,重阳问答︱如何看待美国1月非农就业数据<v>大</v>超预期及未来趋势- 经济观察网－ 专业财经新闻网站,Chongyang Q&A ︱ How do you think the US January non-farm payrolls data greatly exceeded expectations and future trends -,Chongyang Q&A—How to view the US non-agricultural employment data in January exceeded expectations and future trends- Economic Observation Network-Professional financial news website,大,omission,major
45,<v>中新网2月11日电题：</v>中国电商行业涌现“新变量”，带货如何做到“内容为王”？,"Chinanews dot com February 11, new variables in China's e-commerce sector, how to make ""content is king""?","The new variant in the Chinese e-commerce industry is called 'Wang Yi', but how does a shipment become 'Wang Yi?'",中新网2月11日电题：,omission,major
46,习近平回信勉励援中非中国医疗队队员以仁心仁术造福当地人民以实际行动讲<v>好</v>中国故事- 滚动新闻- 湖南日报网- 华声在线,"Xi Jinping wrote back to encourage the members of the Chinese medical team to aid China and Africa to benefit the local people with benevolence and benevolence, and to tell the story of China with practical actions - News - Hunan Daily - Huasheng Online","Xi Jinping replied to a letter encouraging the Chinese medical team aiding Central Africa to benefit the local people with benevolence and medical skills, and to tell the Chinese story through practical actions - Rolling News - Hunan Daily Network - Huasheng Online.",好,omission,major
47,是横<v>杠</v>的！,A horizontal bar is what it is!,It's horizontal!,杠,omission,major
48,越通社河内——越通社<v>特派</v>记者报道，在访问文莱达鲁萨兰国期间，2月11日上午，越南政府总理范明政与夫人走访了文莱达鲁萨兰大学（UBD，简称“文莱大学”）。,"Vietnam News Agency (Hanoi) - A special envoy from the Vietnam News Agency reports that during the visit to Brunei Darussalam, on the morning of February 11, Prime Minister Phan Minh Chinh and his spouse visited the University of Brunei Darussalam (UBD), also known as ""Brunei University.""","Hanoi, VNA - VNA correspondents reported that during their visit to Brunei Darussalam, on the morning of February 11, Prime Minister Pham Minh Trung and his wife visited the University of Brunei Darussalam (UBD, referred to as ""University of Brunei"").",特派,omission,major
49,"以下功能左右耳机均可操作, 轻按一下来电时，接听电话; 通话或<v>去电</v>中，挂断电话音乐时，播放/暂停音频,长按约1 秒释放","Earbuds control features, answer calls, hang up, play/halt music, long press for one second to release,","The following functions can be operated on both the left and right headphones, by lightly pressing the incoming call to answer the call; during the call or disconnect, when the phone is switched off music, play / pause the audio, release for about 1 second",去电,omission,major
50,昨晚拿回家试了一下，瓶盖推开之后，吸管和盖子之间的距离太近了，因为吸管的位置是正向垂直的，所以儿子总是要把盖子上面的凸起含住喝水，觉得这个地方是否可以改进一下。,"I brought it home and gave it a shot last night, the space between the straw and the bottle cap was too close when the bottle cap was pushed off, because the straw is vertical, my son had to catch the bump on the top to sip water, I believe this location can be enhanced.","I took it home last night and tried it, after the bottle cap was pushed back the distance between the straw and the cover was too close, the straw was in the vertical position, so the son always had to pull on the bulge on the top of the cap with the drink water in it to see if the <v>spot</v> could be improved.",spot,mistranslation,major
51,没有要求过，延迟送货的情况下，莫名其妙按我的要求延迟送货－这样的短信过来。,"The delivery was delayed at my request, even though there was no request for it to be done - a text message confirming this appeared. ","Didn't ask for it, <v>delayed delivery somehow delayed delivery at my request-such a text message came through</v>.",delayed delivery somehow delayed delivery at my request-such a text message came through,mistranslation,major
52,3、表不走，台灯充电也无发使用，无法调整时间。,"3, Because the watch does not function and the desk lamp is not used to charge it, the time cannot be altered.","3. The watch does not leave, and the table lamp <v>is not charged or used</v>, and the time cannot be adjusted.",is not charged or used,mistranslation,major
53,我一共买了5份提货券，在提取时，第一次预约提取3份，结果只寄过来2份，经过多方沟通才确认是漏发、答应后需补发；第二次预约，刚好赶上休息日，网站和微信均无提示需要在工作日预约，造成了不必要的恐慌，建议以后改善。,"I purchased 5 delivery coupons in total, I had scheduled a time to pick up 3 coupons, but only 2 were delivered when I went to pick them up, after numerous communications, it was determined that they had been overlooked and that new copies of them were required, the second appointment arrived right on schedule, there was unnecessary worry produced because neither the website nor WeChat mentioned the need for an appointment on weekdays on the final rest day, it is advised to get better in the future.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","I bought 5 delivery vouchers in total, when I withdrew, I first requested 3 copies, <v>the first result</v> was only 2 copies, after multiple communication, it was confirmed that it was a missed, I had to make a return; the second booking, just in time for the holiday, website and WeChat had no hint that the booking would be done on a weekday, causing unnecessary panic, I recommend improving later.‏‏‏‏‏‏",the first result,mistranslation,major
54,你永远主动联系不上这个专员，也不知道她的工号，也没有直线联系电话，就是你联系不上她，只有她联系你。,"Since you don't know the commissioner's job number and there isn't a direct phone number to call, you'll never make the effort to get in touch with her, She is the only one who can reach you, You can't.","You will never take the initiative to contact this commissioner, and you don't know her job number, and there is no direct contact number, that is, you can't contact her, only <v>she</v> can contact you.",she,mistranslation,major
